uprn,label,postcode,easting,northing,ward_gss
9000000001,1 Pembury Street,E8 6PS,531870,187092,E05009367
9000000002,2 Pembury Street,E8 6PS,531813,187164,E05009367
9000000003,3 Pembury Street,E8 6PS,531653,186806,E05009367
9000000004,4 Pembury Street,E8 6PS,531848,186480,E05009367
9000000005,5 Pembury Street,E8 6PS,531855,187107,E05009367
9000000006,6 Pembury Street,E8 6PS,532311,186611,E05009367
9000000007,7 Pembury Street,E8 6PS,532162,186755,E05009367
9000000008,8 Pembury Street,E8 6PS,531556,186819,E05009367
9000000009,9 Pembury Street,E8 6PS,531949,187097,E05009367
9000000010,10 Pembury Street,E8 6PS,531833,186930,E05009367
9000000011,11 Pembury Street,E8 6PS,532041,187074,E05009367
9000000012,12 Pembury Street,E8 6PS,531921,187084,E05009367
9000000013,1 Lauriston Crescent,N1 2AD,531987,186762,E05009367
9000000014,2 Lauriston Crescent,N1 2AD,532133,186750,E05009367
9000000015,3 Lauriston Crescent,N1 2AD,531858,186488,E05009367
9000000016,4 Lauriston Crescent,N1 2AD,531643,186869,E05009367
9000000017,5 Lauriston Crescent,N1 2AD,531836,186746,E05009367
9000000018,6 Lauriston Crescent,N1 2AD,532295,186476,E05009367
9000000019,7 Lauriston Crescent,N1 2AD,531975,186702,E05009367
9000000020,8 Lauriston Crescent,N1 2AD,531918,186563,E05009367
9000000021,9 Lauriston Crescent,N1 2AD,532016,186488,E05009367
9000000022,10 Lauriston Crescent,N1 2AD,532015,186499,E05009367
9000000023,11 Lauriston Crescent,N1 2AD,531942,187191,E05009367
9000000024,12 Lauriston Crescent,N1 2AD,531999,186859,E05009367
9000000025,1 Glyn Gardens,E9 7TL,534397,187263,E05009368
9000000026,2 Glyn Gardens,E9 7TL,534474,187130,E05009368
9000000027,3 Glyn Gardens,E9 7TL,533826,186831,E05009368
9000000028,4 Glyn Gardens,E9 7TL,534288,186882,E05009368
9000000029,5 Glyn Gardens,E9 7TL,534145,186621,E05009368
9000000030,6 Glyn Gardens,E9 7TL,533837,186779,E05009368
9000000031,7 Glyn Gardens,E9 7TL,534308,187388,E05009368
9000000032,8 Glyn Gardens,E9 7TL,534065,187303,E05009368
9000000033,9 Glyn Gardens,E9 7TL,533881,187357,E05009368
9000000034,10 Glyn Gardens,E9 7TL,534224,186899,E05009368
9000000035,11 Glyn Gardens,E9 7TL,534158,187062,E05009368
9000000036,12 Glyn Gardens,E9 7TL,534396,187289,E05009368
9000000037,1 Lea Bridge Walk,E2 8HJ,534134,187299,E05009368
9000000038,2 Lea Bridge Walk,E2 8HJ,534176,187363,E05009368
9000000039,3 Lea Bridge Walk,E2 8HJ,533979,187189,E05009368
9000000040,4 Lea Bridge Walk,E2 8HJ,534198,187205,E05009368
9000000041,5 Lea Bridge Walk,E2 8HJ,534098,187231,E05009368
9000000042,6 Lea Bridge Walk,E2 8HJ,534002,186821,E05009368
9000000043,7 Lea Bridge Walk,E2 8HJ,534058,186977,E05009368
9000000044,8 Lea Bridge Walk,E2 8HJ,534309,186775,E05009368
9000000045,9 Lea Bridge Walk,E2 8HJ,533841,186961,E05009368
9000000046,10 Lea Bridge Walk,E2 8HJ,533746,187016,E05009368
9000000047,11 Lea Bridge Walk,E2 8HJ,534067,186993,E05009368
9000000048,12 Lea Bridge Walk,E2 8HJ,534567,186706,E05009368
9000000049,1 Northwold Terrace,E2 1PN,533027,185537,E05009369
9000000050,2 Northwold Terrace,E2 1PN,532943,186570,E05009369
9000000051,3 Northwold Terrace,E2 1PN,533037,185869,E05009369
9000000052,4 Northwold Terrace,E2 1PN,532573,186464,E05009369
9000000053,5 Northwold Terrace,E2 1PN,533077,186013,E05009369
9000000054,6 Northwold Terrace,E2 1PN,532624,186604,E05009369
9000000055,7 Northwold Terrace,E2 1PN,533053,185624,E05009369
9000000056,8 Northwold Terrace,E2 1PN,532992,185759,E05009369
9000000057,9 Northwold Terrace,E2 1PN,533259,185735,E05009369
9000000058,10 Northwold Terrace,E2 1PN,533044,185526,E05009369
9000000059,11 Northwold Terrace,E2 1PN,532711,186823,E05009369
9000000060,12 Northwold Terrace,E2 1PN,532457,186680,E05009369
9000000061,1 Brooksby Gardens,N16 9QA,533150,185993,E05009369
9000000062,2 Brooksby Gardens,N16 9QA,533047,186311,E05009369
9000000063,3 Brooksby Gardens,N16 9QA,532933,185877,E05009369
9000000064,4 Brooksby Gardens,N16 9QA,533099,186179,E05009369
9000000065,5 Brooksby Gardens,N16 9QA,532732,186360,E05009369
9000000066,6 Brooksby Gardens,N16 9QA,532904,185531,E05009369
9000000067,7 Brooksby Gardens,N16 9QA,532775,186466,E05009369
9000000068,8 Brooksby Gardens,N16 9QA,533250,185634,E05009369
9000000069,9 Brooksby Gardens,N16 9QA,532701,186860,E05009369
9000000070,10 Brooksby Gardens,N16 9QA,532692,185848,E05009369
9000000071,11 Brooksby Gardens,N16 9QA,532564,185768,E05009369
9000000072,12 Brooksby Gardens,N16 9QA,533234,185447,E05009369
9000000073,1 Barbauld Street,E5 8WJ,533480,185004,E05009370
9000000074,2 Barbauld Street,E5 8WJ,533646,184865,E05009370
9000000075,3 Barbauld Street,E5 8WJ,533702,184933,E05009370
9000000076,4 Barbauld Street,E5 8WJ,533906,185143,E05009370
9000000077,5 Barbauld Street,E5 8WJ,533527,184937,E05009370
9000000078,6 Barbauld Street,E5 8WJ,533625,184870,E05009370
9000000079,7 Barbauld Street,E5 8WJ,533613,184580,E05009370
9000000080,8 Barbauld Street,E5 8WJ,533663,184901,E05009370
9000000081,9 Barbauld Street,E5 8WJ,533571,184945,E05009370
9000000082,10 Barbauld Street,E5 8WJ,533735,184795,E05009370
9000000083,11 Barbauld Street,E5 8WJ,533802,184750,E05009370
9000000084,12 Barbauld Street,E5 8WJ,533865,184729,E05009370
9000000085,1 Barbauld Terrace,E9 6LZ,534095,184932,E05009370
9000000086,2 Barbauld Terrace,E9 6LZ,533860,184999,E05009370
9000000087,3 Barbauld Terrace,E9 6LZ,533736,185096,E05009370
9000000088,4 Barbauld Terrace,E9 6LZ,533923,184784,E05009370
9000000089,5 Barbauld Terrace,E9 6LZ,534096,184727,E05009370
9000000090,6 Barbauld Terrace,E9 6LZ,534038,184610,E05009370
9000000091,7 Barbauld Terrace,E9 6LZ,533767,185162,E05009370
9000000092,8 Barbauld Terrace,E9 6LZ,533551,184759,E05009370
9000000093,9 Barbauld Terrace,E9 6LZ,533944,185043,E05009370
9000000094,10 Barbauld Terrace,E9 6LZ,533735,185213,E05009370
9000000095,11 Barbauld Terrace,E9 6LZ,534179,184917,E05009370
9000000096,12 Barbauld Terrace,E9 6LZ,533748,184817,E05009370
9000000097,1 Palatine Street,N16 6FB,533339,183858,E05009371
9000000098,2 Palatine Street,N16 6FB,533441,184077,E05009371
9000000099,3 Palatine Street,N16 6FB,533065,184562,E05009371
9000000100,4 Palatine Street,N16 6FB,533273,183897,E05009371
9000000101,5 Palatine Street,N16 6FB,533150,183927,E05009371
9000000102,6 Palatine Street,N16 6FB,533082,184184,E05009371
9000000103,7 Palatine Street,N16 6FB,533495,184337,E05009371
9000000104,8 Palatine Street,N16 6FB,533263,184678,E05009371
9000000105,9 Palatine Street,N16 6FB,533436,184495,E05009371
9000000106,10 Palatine Street,N16 6FB,533252,183855,E05009371
9000000107,11 Palatine Street,N16 6FB,532904,183923,E05009371
9000000108,12 Palatine Street,N16 6FB,532899,184138,E05009371
